configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima,estado_partida,cantidad_intentos,resuelto_sin_reinicio
estocastico,14,0,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,10,False,False,,18,,,
estocastico,15,0,4-3-7-6-2-5-0-1-8,4-3-7-6-2-5-1-8-0,14,12,8,False,False,,26,,,
estocastico,16,0,4-5-0-1-2-7-8-3-6,4-5-0-1-2-7-8-3-6,12,12,3,False,False,,22,,,
estocastico,17,0,5-1-2-6-4-7-3-0-8,5-1-2-6-4-7-0-3-8,15,14,6,False,False,,23,,,
estocastico,18,0,5-1-7-8-6-3-2-4-0,5-1-7-8-6-3-2-4-0,16,16,3,False,False,,24,,,
estocastico,19,0,6-0-1-8-4-7-3-2-5,0-6-1-8-4-7-3-2-5,19,18,6,False,False,,27,,,
estocastico,20,0,6-3-7-5-1-4-8-2-0,6-3-7-5-1-4-8-2-0,16,16,3,False,False,,24,,,
estocastico,21,0,6-8-2-3-1-5-4-0-7,6-8-2-3-1-5-4-7-0,15,14,6,False,False,,21,,,
estocastico,22,0,7-0-8-6-3-2-1-4-5,7-3-8-6-4-2-1-5-0,17,14,13,False,False,,23,,,
estocastico,23,0,7-1-8-2-0-3-5-4-6,1-2-8-4-5-3-7-0-6,14,5,32,False,False,,22,,,
estocastico,24,0,7-3-2-1-0-6-8-5-4,7-3-2-1-5-6-8-4-0,10,8,10,False,False,,22,,,
estocastico,25,0,7-8-3-4-1-2-0-5-6,7-8-3-4-1-2-0-5-6,10,10,3,False,False,,22,,,
estocastico,26,0,8-1-2-3-6-0-7-5-4,8-1-2-3-5-6-7-4-0,13,10,13,False,False,,23,,,
estocastico,27,0,8-1-7-3-0-2-6-5-4,8-1-7-3-5-2-6-4-0,20,18,10,False,False,,22,,,
estocastico,28,0,8-4-1-3-5-7-0-2-6,8-4-1-3-5-7-0-2-6,16,16,3,False,False,,26,,,
estocastico,29,0,8-6-4-5-0-3-7-1-2,0-8-4-5-6-3-7-1-2,16,14,10,False,False,,26,,,
estocastico,0,1,0-1-6-3-4-7-8-2-5,1-0-6-3-4-7-8-2-5,14,13,6,False,False,,22,,,
estocastico,1,1,0-6-7-8-4-3-1-2-5,0-6-7-8-4-3-1-2-5,16,16,3,False,False,,28,,,
estocastico,2,1,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,4,False,False,,21,,,
estocastico,3,1,1-6-8-3-5-0-4-7-2,1-6-8-3-5-2-4-7-0,13,12,6,False,False,,17,,,
estocastico,4,1,1-7-4-8-2-3-0-6-5,1-7-4-0-2-3-8-6-5,14,13,6,False,False,,20,,,
